2016/1/1,14009
2016/1/2,14342
2016/1/3,14411
2016/1/4,15347
2016/1/5,15427
2016/1/6,16024
2016/1/7,15586
2016/1/8,15188
2016/1/9,14147
2016/1/10,13873
2016/1/11,14740
2016/1/12,15606
2016/1/13,15655
2016/1/14,15791
2016/1/15,15392
2016/1/16,13907
2016/1/17,13504
2016/1/18,15788
2016/1/19,15521
2016/1/20,15560
2016/1/21,15749
2016/1/22,15223
2016/1/23,14463
2016/1/24,14250
2016/1/25,15078
2016/1/26,15295
2016/1/27,15046
2016/1/28,15576
2016/1/29,15549
2016/1/30,14472
2016/1/31,13882
2016/2/1,15960
2016/2/2,15874
2016/2/3,15250
2016/2/4,15367
2016/2/5,15000
2016/2/6,13889
2016/2/7,13954
2016/2/8,15491
2016/2/9,15174
2016/2/10,14845
2016/2/11,14037
2016/2/12,15050
2016/2/13,14195
2016/2/14,14580
2016/2/15,15444
2016/2/16,15593
2016/2/17,14961
2016/2/18,14959
2016/2/19,15170
2016/2/20,14055
2016/2/21,13998
2016/2/22,15149
2016/2/23,15018
2016/2/24,15094
2016/2/25,15028
2016/2/26,14628
2016/2/27,13887
2016/2/28,14261
2016/2/29,15958
2016/3/1,14663
2016/3/2,14552
2016/3/3,15170
2016/3/4,14699
2016/3/5,13601
2016/3/6,13700
2016/3/7,15221
2016/3/8,14956
2016/3/9,14964
2016/3/10,14718
2016/3/11,14450
2016/3/12,13709
2016/3/13,13568
2016/3/14,14696
2016/3/15,14805
2016/3/16,14844
2016/3/17,14900
2016/3/18,14832
2016/3/19,13759
2016/3/20,13368
2016/3/21,13692
2016/3/22,15234
2016/3/23,14737
2016/3/24,14283
2016/3/25,14086
2016/3/26,13190
2016/3/27,13420
2016/3/28,14424
2016/3/29,14745
2016/3/30,14585
2016/3/31,14419
2016/4/1,14257
2016/4/2,13200
2016/4/3,13180
2016/4/4,14726
2016/4/5,14889
2016/4/6,14695
2016/4/7,14974
2016/4/8,13967
2016/4/9,13261
2016/4/10,13147
2016/4/11,14306
2016/4/12,14662
2016/4/13,14536
2016/4/14,14824
2016/4/15,14293
2016/4/16,13477
2016/4/17,13384
2016/4/18,14537
2016/4/19,14486
2016/4/20,14800
2016/4/21,14717
2016/4/22,14129
2016/4/23,13050
2016/4/24,13063
2016/4/25,14763
2016/4/26,14395
2016/4/27,14671
2016/4/28,14229
2016/4/29,12834
2016/4/30,12807
2016/5/1,12788
2016/5/2,13700
2016/5/3,13225
2016/5/4,12922
2016/5/5,13181
2016/5/6,13634
2016/5/7,13268
2016/5/8,12997
2016/5/9,14292
2016/5/10,14407
2016/5/11,14427
2016/5/12,8932
2016/5/13,13970
2016/5/14,12958
2016/5/15,13035
2016/5/16,14497
2016/5/17,14601
2016/5/18,14378
2016/5/19,14327
2016/5/20,14068
2016/5/21,12718
2016/5/22,12757
2016/5/23,14229
2016/5/24,14489
2016/5/25,14336
2016/5/26,14117
2016/5/27,13604
2016/5/28,12787
2016/5/29,12744
2016/5/30,14195
2016/5/31,14310
2016/6/1,14075
2016/6/2,14044
2016/6/3,13977
2016/6/4,12558
2016/6/5,12442
2016/6/6,14147
2016/6/7,14210
2016/6/8,14283
2016/6/9,13911
2016/6/10,13990
2016/6/11,12756
2016/6/12,12657
2016/6/13,14407
2016/6/14,14210
2016/6/15,13983
2016/6/16,14065
2016/6/17,14020
2016/6/18,12704
2016/6/19,13077
2016/6/20,14055
2016/6/21,13969
2016/6/22,14283
2016/6/23,14091
2016/6/24,13765
2016/6/25,12764
2016/6/26,12185
2016/6/27,14081
2016/6/28,13775
2016/6/29,13823
2016/6/30,13670
2016/7/1,12782
2016/7/2,9794
2016/7/3,9437
2016/7/4,11173
2016/7/5,11358
2016/7/6,10914
2016/7/7,11135
2016/7/8,12609
2016/7/9,12067
2016/7/10,12271
2016/7/11,13999
2016/7/12,14041
2016/7/13,13860
2016/7/14,13994
2016/7/15,13399
2016/7/16,12256
2016/7/17,12290
2016/7/18,12408
2016/7/19,13730
2016/7/20,13833
2016/7/21,14020
2016/7/22,13192
2016/7/23,11921
2016/7/24,11989
2016/7/25,13167
2016/7/26,12977
2016/7/27,13278
2016/7/28,13198
2016/7/29,13031
2016/7/30,12000
2016/7/31,11844
2016/8/1,13249
2016/8/2,13228
2016/8/3,13262
2016/8/4,13294
2016/8/5,12746
2016/8/6,11730
2016/8/7,11463
2016/8/8,12925
2016/8/9,12680
2016/8/10,12613
2016/8/11,11943
2016/8/12,11879
2016/8/13,11347
2016/8/14,11995
2016/8/15,12747
2016/8/16,12477
2016/8/17,13133
2016/8/18,12724
2016/8/19,12427
